PeakID (cmd=annotatePeaks.pl peakcalling/LARP4_consensus_peaks2.bed hg38 -annStats annotation_stats.txt),Chr,Start,End,Strand,Gene Name
LARP4_rep1_peak_9620,chr6,43074586,43075003,+,PTK7
LARP4_rep1_peak_1724,chr11,62676558,62676770,+,UBXN1
LARP4_rep1_peak_4594,chr17,40456344,40457598,+,IGFBP4
LARP4_rep1_peak_6732,chr2,181063077,181063333,+,LINC01934
LARP4_rep1_peak_7884,chr22,38683596,38684324,+,TOMM22
LARP4_rep1_peak_1549,chr11,14457649,14457945,+,COPB1
LARP4_rep1_peak_4746,chr17,50110782,50111012,+,PDK2
LARP4_rep1_peak_1199,chr10,79353640,79354615,+,PPIF
LARP4_rep1_peak_11104,chr9,127935120,127935861,+,DPM2
LARP4_rep1_peak_11770,chrY,20592271,20592474,+,EIF1AY
LARP4_rep1_peak_1031,chr1,235977485,235978034,+,NID1
LARP4_rep1_peak_6131,chr19,56159962,56160844,+,GALP
LARP4_rep1_peak_2848,chr14,23477909,23478146,+,NGDN
LARP4_rep1_peak_4991,chr17,81510096,81510844,+,ACTG1
LARP4_rep1_peak_3596,chr16,5024942,5025825,+,NAGPA-AS1
LARP4_rep1_peak_7644,chr21,45514742,45515775,+,SLC19A1
LARP4_rep1_peak_11147,chr9,130500897,130501173,+,ASS1
LARP4_rep1_peak_5955,chr19,46390134,46390715,+,CCDC8
LARP4_rep1_peak_5986,chr19,47871199,47871644,+,SULT2A1
LARP4_rep1_peak_10866,chr9,34613580,34613962,+,RPP25L
LARP4_rep1_peak_4573,chr17,39662734,39663436,+,TCAP
LARP4_rep1_peak_10165,chr7,94669110,94669508,+,PEG10
LARP4_rep1_peak_1218,chr10,84152183,84152792,+,GHITM
LARP4_rep1_peak_759,chr1,155138193,155138671,+,DPM3
LARP4_rep1_peak_7578,chr21,44458643,44459005,+,LRRC3
LARP4_rep1_peak_6202,chr2,10426748,10427527,+,SNORA80B
LARP4_rep1_peak_2972,chr14,70030162,70030699,+,SLC8A3
LARP4_rep1_peak_9033,chr5,95814124,95814558,+,GLRX
LARP4_rep1_peak_826,chr1,160998309,160999019,+,F11R
LARP4_rep1_peak_5615,chr19,14092478,14093201,+,SAMD1
LARP4_rep1_peak_4492,chr17,28880155,28880554,+,FLOT2
LARP4_rep1_peak_5578,chr19,12700542,12701312,+,SNORD135
LARP4_rep1_peak_5822,chr19,39178631,39179315,+,NCCRP1
LARP4_rep1_peak_9728,chr6,116278228,116278530,+,DSE
LARP4_rep1_peak_6657,chr2,130374958,130375200,+,PTPN18
LARP4_rep1_peak_5622,chr19,14514841,14515088,+,DNAJB1
LARP4_rep1_peak_8233,chr3,49532909,49533926,+,BSN-DT
LARP4_rep1_peak_10854,chr9,33112419,33112838,+,MIR12117
LARP4_rep1_peak_624,chr1,112913550,112914127,+,AKR7A2P1
LARP4_rep1_peak_3344,chr15,78896886,78897668,+,MORF4L1
LARP4_rep1_peak_6543,chr2,96184980,96185522,+,STARD7-AS1
LARP4_rep1_peak_5875,chr19,42247596,42248804,+,GSK3A
LARP4_rep1_peak_5653,chr19,17319441,17320113,+,DDA1
LARP4_rep1_peak_9179,chr5,160064954,160065404,+,PWWP2A
LARP4_rep1_peak_6327,chr2,42332274,42332480,+,COX7A2L
LARP4_rep1_peak_3307,chr15,73712853,73714366,+,CD276
LARP4_rep1_peak_8801,chr4,109824263,109824655,+,RRH
LARP4_rep1_peak_5303,chr19,1497094,1497774,+,REEP6
LARP4_rep1_peak_8206,chr3,48468598,48470008,+,TREX1
LARP4_rep1_peak_7574,chr21,44326623,44327304,+,CFAP410
LARP4_rep1_peak_8076,chr3,9806067,9807040,+,TTLL3
LARP4_rep1_peak_2544,chr12,120699037,120699375,+,MLEC
LARP4_rep1_peak_4121,chr16,85779483,85779850,+,LOC101928557
LARP4_rep1_peak_8860,chr4,173331854,173332204,+,HMGB2
LARP4_rep1_peak_7767,chr22,26525892,26526094,+,LOC100507599
LARP4_rep1_peak_4652,chr17,43014645,43016559,+,VAT1
LARP4_rep1_peak_1875,chr11,66846010,66846416,+,RCE1
LARP4_rep1_peak_180,chr1,10419553,10419966,+,CENPS-CORT
LARP4_rep1_peak_2458,chr12,101728773,101728973,+,SYCP3
LARP4_rep1_peak_972,chr1,226360890,226361590,+,PARP1
LARP4_rep1_peak_836,chr1,161304920,161306135,+,MPZ
LARP4_rep1_peak_9301,chr6,3722956,3723328,+,PXDC1
LARP4_rep1_peak_3341,chr15,77046078,77046437,+,TSPAN3
LARP4_rep1_peak_8212,chr3,48625827,48626094,+,TMEM89
LARP4_rep1_peak_5138,chr18,36109452,36109652,+,SLC39A6
LARP4_rep1_peak_5551,chr19,10921891,10923472,+,YIPF2
LARP4_rep1_peak_4870,chr17,75777621,75779309,+,H3F3B
LARP4_rep1_peak_7805,chr22,31957317,31957528,+,C22orf24
LARP4_rep1_peak_4783,chr17,58089757,58091106,+,DYNLL2
LARP4_rep1_peak_11624,chrX,129805485,129805824,+,SASH3
LARP4_rep1_peak_3406,chr15,101272395,101272933,+,SELENOS
LARP4_rep1_peak_4066,chr16,81709707,81710209,+,LOC100129617
LARP4_rep1_peak_3747,chr16,28537507,28537768,+,NUPR1
LARP4_rep1_peak_9811,chr6,160752937,160753190,+,PLG
LARP4_rep1_peak_7118,chr20,25225057,25226664,+,PYGB
LARP4_rep1_peak_1276,chr10,100360621,100361544,+,OLMALINC
LARP4_rep1_peak_7816,chr22,35424148,35424435,+,MCM5
LARP4_rep1_peak_4776,chr17,57120155,57121096,+,AKAP1
LARP4_rep1_peak_11427,chrX,20155083,20155564,+,EIF1AX
LARP4_rep1_peak_4475,chr17,28553455,28554456,+,UNC119
LARP4_rep1_peak_8401,chr3,128070494,128071621,+,RUVBL1-AS1
LARP4_rep1_peak_4832,chr17,73174675,73174876,+,SSTR2
LARP4_rep1_peak_2303,chr12,54284484,54284868,+,HNRNPA1
LARP4_rep1_peak_8172,chr3,42784836,42785446,+,CCDC13
LARP4_rep1_peak_8533,chr3,186046416,186046774,+,ETV5
LARP4_rep1_peak_5652,chr19,17306049,17306781,+,MRPL34
LARP4_rep1_peak_4671,chr17,44011246,44012350,+,TMEM101
LARP4_rep1_peak_10553,chr8,30182998,30183511,+,DCTN6
LARP4_rep1_peak_9106,chr5,138555490,138556135,+,SNORD63B
LARP4_rep1_peak_2994,chr14,75134366,75135014,+,NEK9
LARP4_rep1_peak_8400,chr3,128069358,128070301,+,RUVBL1-AS1
LARP4_rep1_peak_9701,chr6,87675350,87675707,+,AKIRIN2
LARP4_rep1_peak_325,chr1,26475128,26475772,+,HMGN2
LARP4_rep1_peak_2903,chr14,34516112,34516479,+,EAPP
LARP4_rep1_peak_11113,chr9,128436739,128437308,+,CERCAM
LARP4_rep1_peak_1955,chr11,73661392,73662764,+,PLEKHB1
LARP4_rep1_peak_11711,chrX,154531461,154532164,+,IKBKG
LARP4_rep1_peak_7005,chr20,1164897,1165377,+,TMEM74B
LARP4_rep1_peak_10878,chr9,35697376,35698026,+,TPM2
LARP4_rep1_peak_386,chr1,33324149,33325067,+,A3GALT2
LARP4_rep1_peak_10034,chr7,45100165,45100468,+,SNORA5A
LARP4_rep1_peak_9521,chr6,33301526,33301880,+,RGL2
LARP4_rep1_peak_3343,chr15,78548822,78549114,+,PSMA4
LARP4_rep1_peak_11500,chrX,48973793,48974273,+,KCND1
LARP4_rep1_peak_7053,chr20,4187359,4187684,+,LINC01433
LARP4_rep1_peak_2165,chr12,7812824,7813255,+,NANOG
LARP4_rep1_peak_10138,chr7,76329255,76329644,+,HSPB1
LARP4_rep1_peak_4325,chr17,5023805,5024666,+,LOC102724009
LARP4_rep1_peak_11684,chrX,153947666,153947888,+,RENBP
LARP4_rep1_peak_498,chr1,52020254,52021152,+,KTI12
LARP4_rep1_peak_9647,chr6,44233394,44234054,+,SLC29A1
LARP4_rep1_peak_208,chr1,12568031,12568477,+,MIR6730
LARP4_rep1_peak_5608,chr19,13777981,13778432,+,C19orf53
LARP4_rep1_peak_11574,chrX,100629101,100630130,+,TSPAN6
LARP4_rep1_peak_524,chr1,56494984,56495211,+,LINC01767
LARP4_rep1_peak_10518,chr8,22250444,22250948,+,POLR3D
LARP4_rep1_peak_11563,chrX,77968181,77968400,+,PGAM4
LARP4_rep1_peak_6951,chr2,241351852,241352301,+,FARP2
LARP4_rep1_peak_9493,chr6,32162737,32163498,+,EGFL8
LARP4_rep1_peak_368,chr1,31586835,31587482,+,TINAGL1
LARP4_rep1_peak_965,chr1,225789269,225789553,+,SRP9
LARP4_rep1_peak_6361,chr2,54668559,54668889,+,EML6
LARP4_rep1_peak_7329,chr20,56518054,56518830,+,FAM209A
LARP4_rep1_peak_7591,chr21,44886057,44886399,+,PTTG1IP
LARP4_rep1_peak_4930,chr17,77498416,77499828,+,SEPTIN9
LARP4_rep1_peak_4313,chr17,4937333,4938021,+,SLC25A11
LARP4_rep1_peak_6038,chr19,49658238,49658594,+,BCL2L12
LARP4_rep1_peak_3830,chr16,30524079,30524575,+,ZNF768
LARP4_rep1_peak_9213,chr5,175959684,175960081,+,THOC3
LARP4_rep1_peak_6436,chr2,72891270,72891986,+,SPR
LARP4_rep1_peak_4852,chr17,75167804,75168006,+,JPT1
LARP4_rep1_peak_8423,chr3,129304578,129305135,+,H1FX-AS1
LARP4_rep1_peak_4800,chr17,63745449,63745974,+,STRADA
LARP4_rep1_peak_4265,chr17,1574560,1575835,+,PITPNA
LARP4_rep1_peak_6991,chr20,396519,397443,+,RBCK1
LARP4_rep1_peak_4432,chr17,18208318,18209395,+,LLGL1
LARP4_rep1_peak_1129,chr10,46005195,46005555,+,NCOA4
LARP4_rep1_peak_7919,chr22,41459799,41460619,+,PHF5A
LARP4_rep1_peak_5092,chr18,649667,650105,+,TYMS
LARP4_rep1_peak_9232,chr5,177305739,177305943,+,PRELID1
LARP4_rep1_peak_3865,chr16,31489552,31490136,+,SLC5A2
LARP4_rep1_peak_5523,chr19,10115054,10115288,+,P2RY11
LARP4_rep1_peak_1872,chr11,66626728,66627139,+,RBM14
LARP4_rep1_peak_2923,chr14,45115963,45116362,+,SNORD127
LARP4_rep1_peak_6704,chr2,170717247,170717947,+,SP5
LARP4_rep1_peak_439,chr1,42807204,42807504,+,ERMAP
LARP4_rep1_peak_4613,chr17,41973387,41975065,+,CNP
LARP4_rep1_peak_1387,chr11,252525,252929,+,PSMD13
LARP4_rep1_peak_3720,chr16,23467305,23467531,+,COG7
LARP4_rep1_peak_9998,chr7,33005189,33005583,+,FKBP9
LARP4_rep1_peak_11119,chr9,128694598,128695496,+,SET
LARP4_rep1_peak_1520,chr11,4092891,4093109,+,RRM1
LARP4_rep1_peak_7064,chr20,5115047,5115399,+,TMEM230
LARP4_rep1_peak_9678,chr6,63580904,63581399,+,PTP4A1
LARP4_rep1_peak_6553,chr2,96706561,96707372,+,LMAN2L
LARP4_rep1_peak_9948,chr7,5605225,5606538,+,FSCN1
LARP4_rep1_peak_1253,chr10,95663531,95664334,+,ALDH18A1
LARP4_rep1_peak_8796,chr4,108667142,108667667,+,OSTC
LARP4_rep1_peak_9955,chr7,6402171,6402753,+,RAC1
LARP4_rep1_peak_10525,chr8,22574608,22575256,+,PDLIM2
LARP4_rep1_peak_9680,chr6,69675906,69676204,+,LMBRD1
LARP4_rep1_peak_4999,chr17,81701501,81701991,+,MRPL12
LARP4_rep1_peak_6336,chr2,46901938,46902159,+,MCFD2
LARP4_rep1_peak_6563,chr2,97656386,97656935,+,ACTR1B
LARP4_rep1_peak_10324,chr7,143268661,143269058,+,GSTK1
LARP4_rep1_peak_2052,chr11,119096704,119097079,+,H2AFX
LARP4_rep1_peak_9935,chr7,5231046,5231278,+,WIPI2
LARP4_rep1_peak_1844,chr11,65916907,65917738,+,C11orf68
LARP4_rep1_peak_2126,chr12,6570203,6570766,+,NOP2
LARP4_rep1_peak_9999,chr7,33006445,33006859,+,FKBP9
LARP4_rep1_peak_252,chr1,18871483,18873008,+,MIR4695
LARP4_rep1_peak_7830,chr22,36467144,36468020,+,TXN2
LARP4_rep1_peak_176,chr1,9850194,9850879,+,CLSTN1
LARP4_rep1_peak_10514,chr8,22081868,22082465,+,FAM160B2
LARP4_rep1_peak_1214,chr10,80518646,80519087,+,LOC101929574
LARP4_rep1_peak_313,chr1,25360580,25360869,+,TMEM50A
LARP4_rep1_peak_272,chr1,20499570,20500345,+,MUL1
LARP4_rep1_peak_10223,chr7,101160424,101161168,+,MIR4653
LARP4_rep1_peak_2546,chr12,120739235,120739936,+,ACADS
LARP4_rep1_peak_2287,chr12,53445892,53446605,+,PRR13
LARP4_rep1_peak_2338,chr12,56143717,56144333,+,MYL6B
LARP4_rep1_peak_2693,chr13,30460985,30461470,+,HMGB1
LARP4_rep1_peak_8404,chr3,128407985,128408564,+,DNAJB8-AS1
LARP4_rep1_peak_5124,chr18,27951021,27951655,+,CDH2
LARP4_rep1_peak_8547,chr3,187075539,187076464,+,ST6GAL1
LARP4_rep1_peak_10106,chr7,73831428,73832520,+,CLDN4
LARP4_rep1_peak_5914,chr19,44888043,44889170,+,TOMM40
LARP4_rep1_peak_8853,chr4,165341740,165342358,+,MSMO1
LARP4_rep1_peak_4036,chr16,75229170,75229587,+,LOC100506281
LARP4_rep1_peak_2006,chr11,102398552,102398903,+,BIRC2
LARP4_rep1_peak_8257,chr3,50354849,50355507,+,CYB561D2
LARP4_rep1_peak_4148,chr16,88076895,88077167,+,LOC400553
LARP4_rep1_peak_7057,chr20,4701231,4701459,+,PRNP
LARP4_rep1_peak_4873,chr17,75845837,75846835,+,UNC13D
LARP4_rep1_peak_3885,chr16,47155473,47155836,+,ITFG1-AS1
LARP4_rep1_peak_75,chr1,1786836,1787145,+,NADK
LARP4_rep1_peak_9762,chr6,142445908,142446116,+,ADGRG6
LARP4_rep1_peak_448,chr1,43384820,43385194,+,MED8
LARP4_rep1_peak_4798,chr17,63607765,63608247,+,TACO1
LARP4_rep1_peak_6100,chr19,55226780,55227134,+,TMEM86B
LARP4_rep1_peak_10853,chr9,33111995,33112221,+,MIR12117
LARP4_rep1_peak_1664,chr11,61299592,61300311,+,VWCE
LARP4_rep1_peak_6231,chr2,20447979,20448767,+,RHOB
LARP4_rep1_peak_5854,chr19,41207240,41207433,+,AXL
LARP4_rep1_peak_6125,chr19,55695148,55695706,+,EPN1
LARP4_rep1_peak_308,chr1,23845230,23845957,+,HMGCL
LARP4_rep1_peak_1855,chr11,66276019,66277391,+,CNIH2
LARP4_rep1_peak_6413,chr2,68178892,68179244,+,PNO1
LARP4_rep1_peak_1250,chr10,95606081,95607050,+,SORBS1
LARP4_rep1_peak_3150-2,chr14,105529546,105530113,+,LOC105370697
LARP4_rep1_peak_1776,chr11,64267543,64267760,+,PLCB3
LARP4_rep1_peak_3336,chr15,75639205,75639902,+,IMP3
LARP4_rep1_peak_7254,chr20,41175200,41175593,+,MIR6871
LARP4_rep1_peak_9508,chr6,32980972,32981180,+,BRD2
LARP4_rep1_peak_9246,chr5,177456991,177457603,+,DBN1
LARP4_rep1_peak_8345,chr3,100577209,100577411,+,ADGRG7
LARP4_rep1_peak_5673,chr19,18279886,18280207,+,JUND
LARP4_rep1_peak_7184,chr20,34280420,34281300,+,ASIP
LARP4_rep1_peak_8685,chr4,7060646,7060959,+,GRPEL1
LARP4_rep1_peak_7307,chr20,49951950,49952443,+,RNF114
LARP4_rep1_peak_9127,chr5,140705560,140706524,+,VTRNA1-1
LARP4_rep1_peak_8626,chr4,1692913,1693158,+,FAM53A
LARP4_rep1_peak_11045,chr9,114597477,114598284,+,ATP6V1G1
LARP4_rep1_peak_11099,chr9,127867708,127868122,+,MIR4672
LARP4_rep1_peak_5042,chr17,82018817,82019354,+,CENPX
LARP4_rep1_peak_7659,chr21,46190706,46191004,+,SNORD159
LARP4_rep1_peak_2998,chr14,77024608,77024913,+,IRF2BPL
LARP4_rep1_peak_4530,chr17,35846784,35847159,+,HEATR9
LARP4_rep1_peak_5855,chr19,41306312,41307338,+,CCDC97
LARP4_rep1_peak_7189,chr20,34710374,34710780,+,TP53INP2
LARP4_rep1_peak_1074,chr10,5765316,5765524,+,GDI2
LARP4_rep1_peak_744,chr1,154924835,154925368,+,PMVK
LARP4_rep1_peak_7788,chr22,30554684,30554999,+,GAL3ST1
LARP4_rep1_peak_11625,chrX,129806057,129806349,+,SASH3
LARP4_rep1_peak_5287,chr19,1394870,1395557,+,GAMT
LARP4_rep1_peak_9323,chr6,7585822,7586060,+,SNRNP48
LARP4_rep1_peak_4418,chr17,17246914,17247198,+,FLCN
LARP4_rep1_peak_8674,chr4,6641553,6642568,+,MRFAP1
LARP4_rep1_peak_1311,chr10,102480644,102481028,+,MFSD13A
LARP4_rep1_peak_7585,chr21,44805680,44807118,+,LINC01424
LARP4_rep1_peak_6945,chr2,241229333,241229793,+,ANO7
LARP4_rep1_peak_9323-2,chr6,7586225,7586505,+,SNRNP48
LARP4_rep1_peak_3482,chr16,1445951,1446747,+,CCDC154
LARP4_rep1_peak_8153,chr3,39141903,39142099,+,MIR6822
LARP4_rep1_peak_1171,chr10,72367972,72368223,+,DNAJB12
LARP4_rep1_peak_6405,chr2,65020931,65021922,+,SLC1A4
LARP4_rep1_peak_8671,chr4,6302062,6303235,+,WFS1
LARP4_rep1_peak_7331,chr20,57377959,57378306,+,RBM38
LARP4_rep1_peak_8255,chr3,50330404,50330606,+,TUSC2
LARP4_rep1_peak_4887,chr17,76270168,76271143,+,UBALD2
LARP4_rep1_peak_8770,chr4,88521149,88521586,+,PYURF
LARP4_rep1_peak_9754,chr6,138090969,138091438,+,PERP
LARP4_rep1_peak_6340,chr2,47160220,47160935,+,STPG4
LARP4_rep1_peak_10601,chr8,61502867,61503172,+,ASPH
LARP4_rep1_peak_9152,chr5,150796015,150796655,+,SMIM3
LARP4_rep1_peak_486,chr1,46188839,46189290,+,POMGNT1
LARP4_rep1_peak_8171,chr3,42784362,42784649,+,CCDC13
LARP4_rep1_peak_2811,chr14,21016800,21017606,+,MIR6717
LARP4_rep1_peak_7943,chr22,42085753,42086465,+,NDUFA6
LARP4_rep1_peak_4378,chr17,7591451,7591753,+,SOX15
LARP4_rep1_peak_9257,chr5,178210473,178211058,+,HNRNPAB
LARP4_rep1_peak_351,chr1,27666191,27666522,+,LINC02574
LARP4_rep1_peak_1278-2,chr10,100364045,100364266,+,OLMALINC
LARP4_rep1_peak_8756,chr4,78543801,78544212,+,ANXA3
LARP4_rep1_peak_2247,chr12,49764444,49764833,+,TMBIM6
LARP4_rep1_peak_4615,chr17,42125160,42125953,+,HSPB9
LARP4_rep1_peak_1278,chr10,100362981,100363881,+,OLMALINC
LARP4_rep1_peak_2068,chr11,121629689,121630140,+,SORL1
LARP4_rep1_peak_9711,chr6,107871404,107871881,+,SCML4
LARP4_rep1_peak_3896,chr16,50633634,50634479,+,LOC101927272
LARP4_rep1_peak_2138,chr12,6839227,6839810,+,GNB3
LARP4_rep1_peak_5304,chr19,1554835,1555038,+,MEX3D
LARP4_rep1_peak_1921,chr11,70434922,70435503,+,CTTN
LARP4_rep1_peak_8532,chr3,185917394,185917891,+,TRA2B
LARP4_rep1_peak_8442,chr3,133819433,133820555,+,SRPRB
LARP4_rep1_peak_1211,chr10,80431974,80432299,+,PRXL2A
LARP4_rep1_peak_557,chr1,88853102,88853323,+,GTF2B
LARP4_rep1_peak_11134,chr9,129095010,129095700,+,DOLPP1
LARP4_rep1_peak_1001,chr1,230279193,230280733,+,PGBD5
LARP4_rep1_peak_324,chr1,26280966,26281373,+,SH3BGRL3
LARP4_rep1_peak_466,chr1,44650706,44651558,+,SNORD145
LARP4_rep1_peak_11597,chrX,108697186,108697391,+,IRS4
LARP4_rep1_peak_11297,chr9,137189675,137190216,+,SSNA1
LARP4_rep1_peak_11261,chr9,136423001,136423699,+,PMPCA
LARP4_rep1_peak_11537,chrX,70286776,70287209,+,PDZD11
LARP4_rep1_peak_11255,chr9,136207062,136207401,+,LHX3
LARP4_rep1_peak_11621,chrX,129446826,129447204,+,SMARCA1
LARP4_rep1_peak_9779,chr6,146554385,146554896,+,RAB32
LARP4_rep1_peak_5543,chr19,10691926,10692146,+,QTRT1
LARP4_rep1_peak_64,chr1,1541803,1542226,+,TMEM240
LARP4_rep1_peak_9192,chr5,171406316,171406644,+,FGF18
LARP4_rep1_peak_5127,chr18,31548450,31548665,+,DSG2-AS1
LARP4_rep1_peak_7000,chr20,646693,646883,+,SRXN1
LARP4_rep1_peak_4624,chr17,42521107,42521364,+,MIR5010
LARP4_rep1_peak_11153,chr9,131499789,131500035,+,POMT1
LARP4_rep1_peak_1002,chr1,230281433,230282081,+,PGBD5
LARP4_rep1_peak_5952,chr19,45873352,45873717,+,FOXA3
LARP4_rep1_peak_2437,chr12,93409544,93410195,+,NUDT4
LARP4_rep1_peak_2902,chr14,34434801,34435354,+,SPTSSA
LARP4_rep1_peak_1878,chr11,67286249,67286448,+,ANKRD13D
LARP4_rep1_peak_3337,chr15,76216353,76216739,+,LOC101929439
LARP4_rep1_peak_3415,chr15,101641960,101642535,+,TM2D3
LARP4_rep1_peak_10852,chr9,33110757,33111379,+,MIR12117
LARP4_rep1_peak_2875,chr14,24209698,24210023,+,CHMP4A
LARP4_rep1_peak_317,chr1,25816622,25817293,+,MTFR1L
LARP4_rep1_peak_1636,chr11,57484580,57485382,+,RTN4RL2
LARP4_rep1_peak_4725,chr17,48059432,48061450,+,NFE2L1
LARP4_rep1_peak_2222,chr12,47968645,47968844,+,TMEM106C
LARP4_rep1_peak_2160,chr12,7096178,7096392,+,C1R
LARP4_rep1_peak_6692,chr2,161992414,161993510,+,DPP4
LARP4_rep1_peak_8513,chr3,184183497,184184008,+,ABCF3
LARP4_rep1_peak_8177,chr3,43366614,43366953,+,SNRK-AS1
LARP4_rep1_peak_8895,chr5,1050753,1051200,+,MIR4635
LARP4_rep1_peak_9091,chr5,135334658,135334965,+,H2AFY
LARP4_rep1_peak_8444,chr3,134477783,134477988,+,CEP63
LARP4_rep1_peak_4617,chr17,42189105,42189791,+,HCRT
LARP4_rep1_peak_8892,chr5,314305,314795,+,AHRR
LARP4_rep1_peak_5838,chr19,40232644,40233387,+,CNTD2
LARP4_rep1_peak_2559,chr12,121641515,121642004,+,ORAI1
LARP4_rep1_peak_4622,chr17,42402487,42402759,+,STAT3
LARP4_rep1_peak_6831,chr2,219181982,219183450,+,RETREG2
LARP4_rep1_peak_11318,chr9,137282311,137282512,+,TOR4A
LARP4_rep1_peak_5438,chr19,5205867,5206065,+,PTPRS
LARP4_rep1_peak_6408,chr2,65088111,65088601,+,CEP68
LARP4_rep1_peak_4512,chr17,31531754,31531991,+,MIR4724
LARP4_rep1_peak_7824,chr22,36266332,36266535,+,APOL1
LARP4_rep1_peak_6818,chr2,218405197,218405854,+,MIR26B
LARP4_rep1_peak_8472,chr3,149965480,149966378,+,PFN2
LARP4_rep1_peak_2509,chr12,113388498,113391505,+,SDS
LARP4_rep1_peak_2566,chr12,122207867,122208500,+,B3GNT4
LARP4_rep1_peak_1874,chr11,66645966,66646279,+,RBM4
LARP4_rep1_peak_6789,chr2,215361024,215361715,+,ATIC
LARP4_rep1_peak_7384,chr20,62671636,62672225,+,SLCO4A1-AS1
LARP4_rep1_peak_6771,chr2,202206797,202207373,+,
LARP4_rep1_peak_5417,chr19,4537321,4538080,+,LRG1
LARP4_rep1_peak_5953,chr19,45883714,45884166,+,IRF2BP1
LARP4_rep1_peak_398,chr1,36304414,36304684,+,SH3D21
LARP4_rep1_peak_5859,chr19,41386454,41386743,+,TMEM91
LARP4_rep1_peak_3318,chr15,74843928,74844511,+,ULK3
LARP4_rep1_peak_8254,chr3,50329850,50330016,+,TUSC2
LARP4_rep1_peak_1788,chr11,64764738,64764947,+,PYGM
LARP4_rep1_peak_4554,chr17,38734410,38734767,+,CISD3
LARP4_rep1_peak_390,chr1,35433657,35434143,+,ZMYM4-AS1
LARP4_rep1_peak_8755,chr4,78540793,78541494,+,ANXA3
LARP4_rep1_peak_9088,chr5,134750946,134751279,+,DDX46
LARP4_rep1_peak_7854,chr22,37655495,37655954,+,LOC101927051
LARP4_rep1_peak_1170,chr10,72367452,72367785,+,DNAJB12
LARP4_rep1_peak_8849,chr4,158124647,158124979,+,FAM198B-AS1
LARP4_rep1_peak_92,chr1,2309388,2309641,+,LOC100129534
LARP4_rep1_peak_9498,chr6,32185998,32186232,+,AGER
LARP4_rep1_peak_6751,chr2,197392103,197392359,+,SF3B1
LARP4_rep1_peak_10870,chr9,35088823,35089260,+,PIGO
LARP4_rep1_peak_5298,chr19,1434658,1435545,+,RPS15
LARP4_rep1_peak_11495,chrX,48904349,48904691,+,PQBP1
LARP4_rep1_peak_2051,chr11,119093907,119095507,+,H2AFX
LARP4_rep1_peak_9568,chr6,36686463,36686686,+,CDKN1A
LARP4_rep1_peak_9659,chr6,49431591,49431836,+,MMUT
LARP4_rep1_peak_8248,chr3,50287825,50288195,+,IFRD2
LARP4_rep1_peak_8093,chr3,10938408,10939143,+,SLC6A1
LARP4_rep1_peak_3734,chr16,24919506,24919830,+,SLC5A11
LARP4_rep1_peak_4034,chr16,75107604,75108017,+,LDHD
LARP4_rep1_peak_4073,chr16,84053877,84054435,+,SLC38A8
LARP4_rep1_peak_8029,chr22,49901493,49901989,+,ALG12
LARP4_rep1_peak_9330,chr6,8079672,8080082,+,SCARNA27
LARP4_rep1_peak_9915,chr7,2380146,2380593,+,CHST12
LARP4_rep1_peak_8065,chr3,4361190,4361762,+,SETMAR
LARP4_rep1_peak_10075,chr7,66955365,66955941,+,TMEM248
LARP4_rep1_peak_5264,chr19,1037709,1038291,+,ABCA7
LARP4_rep1_peak_10312,chr7,139422623,139423111,+,LOC100129148
LARP4_rep1_peak_9411-2,chr6,30899373,30900023,+,GTF2H4
LARP4_rep1_peak_11314,chr9,137272739,137273438,+,TOR4A
LARP4_rep1_peak_3191,chr15,40856917,40857579,+,SPINT1-AS1
LARP4_rep1_peak_8079,chr3,9893194,9893759,+,JAGN1
LARP4_rep1_peak_8605,chr4,1024752,1026779,+,FGFRL1
LARP4_rep1_peak_5374,chr19,3207446,3207958,+,CELF5
LARP4_rep1_peak_7062,chr20,5099960,5100337,+,TMEM230
LARP4_rep1_peak_10504,chr8,18057220,18057424,+,ASAH1
LARP4_rep1_peak_11632,chrX,131284275,131285141,+,IGSF1
LARP4_rep1_peak_1681,chr11,61802068,61802523,+,FEN1
LARP4_rep1_peak_5979,chr19,47271607,47271820,+,INAFM1
LARP4_rep1_peak_3916,chr16,56362025,56363096,+,AMFR
LARP4_rep1_peak_11564,chrX,77968652,77968873,+,PGAM4
LARP4_rep1_peak_6985,chr20,326315,328657,+,SOX12
LARP4_rep1_peak_10237,chr7,102283579,102283791,+,SH2B2
LARP4_rep1_peak_584,chr1,99707527,99707727,+,MIR548N
LARP4_rep1_peak_11497,chrX,48922990,48923214,+,PIM2
LARP4_rep1_peak_8130,chr3,31635891,31636288,+,OSBPL10-AS1
LARP4_rep1_peak_6418,chr2,69825389,69825675,+,GMCL1
LARP4_rep1_peak_4011,chr16,70661261,70662262,+,MTSS2
LARP4_rep1_peak_6661,chr2,131149499,131149794,+,PLEKHB2
LARP4_rep1_peak_4460,chr17,21314100,21315030,+,MAP2K3
LARP4_rep1_peak_7789,chr22,30576700,30577171,+,GAL3ST1
LARP4_rep1_peak_4381,chr17,7669345,7669746,+,TP53
LARP4_rep1_peak_10513,chr8,22081368,22081614,+,FAM160B2
LARP4_rep1_peak_8737,chr4,68830554,68831364,+,UGT2B10
LARP4_rep1_peak_9639,chr6,43521170,43521443,+,POLR1C
LARP4_rep1_peak_3584,chr16,4511386,4513069,+,HMOX2
